Number,Word,Lemma,POS,Head,Dependency label,Gold head,Gold dependency,Dif head,Dif dependency
1,President,President,NNP,2,compound,5,nsubj,1,1
2,Bush,Bush,NNP,5,nsubj,1,flat,1,1
3,on,on,IN,5,prep,4,case,1,1
4,Tuesday,Tuesday,NNP,3,pobj,5,obl,1,1
5,nominated,nominate,VBD,0,ROOT,0,root,0,1
6,two,two,CD,7,nummod,7,nummod,0,0
7,individuals,individual,NNS,5,dobj,5,obj,0,1
8,to,to,TO,9,aux,9,mark,0,1
9,replace,replace,VB,5,xcomp,5,advcl,0,1
10,retiring,retire,VBG,11,amod,11,amod,0,0
11,jurists,jurist,NNS,9,dobj,9,obj,0,1
12,on,on,IN,11,prep,14,case,1,1
13,federal,federal,JJ,14,amod,14,amod,0,0
14,courts,court,NNS,12,pobj,11,nmod,1,1
15,in,in,IN,11,prep,18,case,1,1
16,the,the,DT,18,det,18,det,0,0
17,Washington,Washington,NNP,18,compound,18,compound,0,0
18,area,area,NN,15,pobj,14,nmod,1,1
19,.,.,.,5,punct,5,punct,0,0
1,Bush,Bush,NNP,2,nsubj,2,nsubj,0,0
2,nominated,nominate,VBD,0,ROOT,0,root,0,1
3,Jennifer,Jennifer,NNP,5,compound,2,obj,1,1
4,M.,M.,NNP,5,compound,3,flat,1,1
5,Anderson,Anderson,NNP,2,dobj,3,flat,1,1
6,for,for,IN,2,prep,11,case,1,1
7,a,a,DT,11,det,11,det,0,0
8,15,15,CD,10,nummod,10,nummod,0,0
9,-,-,HYPH,10,punct,10,punct,0,0
10,year,year,NN,11,compound,11,compound,0,0
11,term,term,NN,6,pobj,2,obl,1,1
12,as,as,IN,11,prep,14,case,1,1
13,associate,associate,JJ,14,amod,14,amod,0,0
14,judge,judge,NN,12,pobj,11,nmod,1,1
15,of,of,IN,14,prep,18,case,1,1
16,the,the,DT,18,det,18,det,0,0
17,Superior,Superior,NNP,18,compound,18,compound,0,0
18,Court,Court,NNP,15,pobj,14,nmod,1,1
19,of,of,IN,18,prep,21,case,1,1
20,the,the,DT,21,det,21,det,0,0
21,District,District,NNP,19,pobj,18,nmod,1,1
22,of,of,IN,21,prep,23,case,1,1
23,Columbia,Columbia,NNP,22,pobj,21,nmod,1,1
24,",",",",",",2,punct,2,punct,0,0
25,replacing,replace,VBG,2,advcl,2,advcl,0,0
26,Steffen,Steffen,NNP,28,compound,25,obj,1,1
27,W.,W.,NNP,28,compound,26,flat,1,1
28,Graae,Graae,NNP,25,dobj,26,flat,1,1
29,.,.,.,2,punct,2,punct,0,0
1,Bush,Bush,NNP,3,nsubj,3,nsubj,0,0
